Rank,Metropolitan Statistical Area,2015 Estimate,2010 Census,Change,Encompassing Combined Statistical Area
1,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","20182305","19567410",3.14%,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
2,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","13340068","12828837",3.99%,"Los Angeles-Long Beach, CA Combined Statistical Area"
3,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area","9551031","9461105",0.95%,"Chicago-Naperville, IL-IN-WI Combined Statistical Area"
4,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","7102796","6426214",10.53%,"Dallas-Fort Worth, TX-OK Combined Statistical Area"
5,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","6656947","5920416",12.44%,"Houston-The Woodlands, TX Combined Statistical Area"
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","6097684","5636232",8.19%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","6069875","5965343",1.75%,"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
8,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area","6012331","5564635",8.05%,"Miami-Fort Lauderdale-Port St. Lucie, FL Combined Statistical Area"
9,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","5710795","5286728",8.02%,"Atlanta-Sandy Springs, GA Combined Statistical Area"
10,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","4774321","4552402",4.87%,"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area"
11,"San Francisco Oakland Hayward, CA Metropolitan Statistical Area","4656132","4335391",7.40%,"San Jose-San Francisco-Oakland, CA Combined Statistical Area"
12,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area","4574531","4192887",9.10%,
13,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","4489159","4224851",6.26%,"Los Angeles-Long Beach, CA Combined Statistical Area"
14,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","4302043","4296250",0.13%,"Detroit-Warren-Ann Arbor, MI Combined Statistical Area"
15,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","3733580","3439809",8.54%,"Seattle-Tacoma, WA Combined Statistical Area"
16,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","3524583","3348859",5.25%,"Minneapolis-St. Paul, MN-WI Combined Statistical Area"
17,"San Diego-Carlsbad, CA Metropolitan Statistical Area","3299521","3095313",6.60%,
18,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area","2975225","2783243",6.90%,
19,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","2814330","2543482",10.65%,"Denver-Aurora, CO Combined Statistical Area"
20,"St. Louis, MO-IL Metropolitan Statistical Area","2811588","2787701",0.86%,"St. Louis-St. Charles-Farmington, MO-IL Combined Statistical Area"
21,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","2797407","2710489",3.21%,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area"
22,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","2426363","2217012",9.44%,"Charlotte-Concord, NC-SC Combined Statistical Area"
23,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","2389228","2226009",7.33%,"Portland-Vancouver-Salem, OR-WA Combined Statistical Area"
24,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area","2387138","2134411",11.84%,"Orlando-Deltona-Daytona Beach, FL Combined Statistical Area"
25,"San Antonio-New Braunfels, TX Metropolitan Statistical Area","2384075","2142508",11.27%,
26,"Pittsburgh, PA Metropolitan Statistical Area","2353045","2356285",-0.14%,"Pittsburgh-New Castle-Weirton, PA-OH-WV Combined Statistical Area"
27,"Sacramento Roseville Arden-Arcade, CA Metropolitan Statistical Area","2274194","2149127",5.82%,"Sacramento-Roseville, CA Combined Statistical Area"
